t,v
0.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000056e-01,-9.300000000000000488e-01
2.000000000000000111e-01,-8.599999999999999867e-01
3.000000000000000444e-01,-7.500000000000000000e-01
4.000000000000000222e-01,-7.800000000000000266e-01
5.000000000000000000e-01,-7.399999999999999911e-01
5.999999999999999778e-01,-7.800000000000000266e-01
6.999999999999999556e-01,-7.800000000000000266e-01
7.999999999999999334e-01,-7.199999999999999734e-01
8.999999999999999112e-01,-6.999999999999999556e-01
9.999999999999998890e-01,-5.999999999999999778e-01
1.099999999999999867e+00,-6.099999999999999867e-01
1.199999999999999956e+00,-5.699999999999999512e-01
1.300000000000000044e+00,-5.200000000000000178e-01
1.400000000000000133e+00,-4.899999999999999911e-01
1.500000000000000222e+00,-3.699999999999999956e-01
1.600000000000000311e+00,-3.200000000000000067e-01
1.700000000000000400e+00,-2.700000000000000178e-01
1.800000000000000488e+00,-2.300000000000000100e-01
1.900000000000000577e+00,-2.200000000000000011e-01
2.000000000000000444e+00,-1.400000000000000133e-01
2.100000000000000533e+00,-5.000000000000000278e-02
2.200000000000000622e+00,2.999999999999999889e-02
2.300000000000000711e+00,1.199999999999999956e-01
2.400000000000000799e+00,2.600000000000000089e-01
2.500000000000000888e+00,3.099999999999999978e-01
2.600000000000000977e+00,4.600000000000000200e-01
2.700000000000001066e+00,5.999999999999999778e-01
2.800000000000001155e+00,6.999999999999999556e-01
2.900000000000001243e+00,8.499999999999999778e-01
3.000000000000001332e+00,9.599999999999999645e-01
3.100000000000001421e+00,1.010000000000000009e+00
3.200000000000001510e+00,1.080000000000000071e+00
3.300000000000001599e+00,1.219999999999999973e+00
3.400000000000001688e+00,1.330000000000000071e+00
3.500000000000001776e+00,1.439999999999999947e+00
3.600000000000001865e+00,1.580000000000000071e+00
3.700000000000001954e+00,1.620000000000000107e+00
3.800000000000002043e+00,1.689999999999999947e+00
3.900000000000002132e+00,1.689999999999999947e+00
4.000000000000001776e+00,1.790000000000000036e+00
4.100000000000001421e+00,1.780000000000000027e+00
4.200000000000001066e+00,1.830000000000000071e+00
4.300000000000000711e+00,2.040000000000000036e+00
4.400000000000000355e+00,1.899999999999999911e+00
