model_seed,order_seed,order_label,accuracy,elapsed
42,0,original,94.0,1810.9963748455048
42,1001,shuffle_1001,96.28571428571429,1793.924427986145
42,1002,shuffle_1002,91.57142857142857,1792.1339161396027
42,1003,shuffle_1003,94.71428571428572,1789.123034954071
42,1004,shuffle_1004,95.42857142857143,1788.337401151657
43,0,original,92.28571428571428,1780.3902659416199
43,1001,shuffle_1001,92.14285714285714,1787.7385120391846
43,1002,shuffle_1002,89.42857142857143,1802.1434218883514
43,1003,shuffle_1003,93.85714285714286,1783.3640158176422
43,1004,shuffle_1004,96.71428571428572,1790.8867208957672
44,0,original,77.71428571428571,1790.3727428913116
44,1001,shuffle_1001,77.71428571428571,1788.0107069015503
44,1002,shuffle_1002,74.85714285714286,1790.916573047638
44,1003,shuffle_1003,76.85714285714286,1791.751529932022
44,1004,shuffle_1004,77.57142857142857,1786.8646850585938
45,0,original,94.14285714285714,1762.0987360477448
45,1001,shuffle_1001,94.57142857142857,1759.0681529045105
45,1002,shuffle_1002,93.71428571428572,1759.5565960407257
45,1003,shuffle_1003,93.57142857142857,1755.793986082077
45,1004,shuffle_1004,94.57142857142857,1764.9719350337982
46,0,original,91.28571428571428,1785.7922019958496
46,1001,shuffle_1001,89.85714285714286,1788.9734089374542
46,1002,shuffle_1002,89.42857142857143,1794.9491398334503
46,1003,shuffle_1003,91.14285714285715,1779.5740711688995
46,1004,shuffle_1004,90.28571428571428,1784.8618330955505
