gate_w,ac_w,seed,accuracy
0.0,0.0,42,80.4
0.0,0.0,44,65.6
0.0,0.0,51,89.4
0.0,0.0,55,84.0
0.0,0.0,65,83.6
0.0,0.25,42,86.1
0.0,0.25,44,74.0
0.0,0.25,51,96.4
0.0,0.25,55,94.1
0.0,0.25,65,87.3
0.0,0.5,42,80.1
0.0,0.5,44,57.1
0.0,0.5,51,88.7
0.0,0.5,55,82.1
0.0,0.5,65,78.6
0.0,0.75,42,53.4
0.0,0.75,44,50.3
0.0,0.75,51,53.7
0.0,0.75,55,53.1
0.0,0.75,65,53.9
0.0,1.0,42,50.1
0.0,1.0,44,52.6
0.0,1.0,51,48.1
0.0,1.0,55,49.3
0.0,1.0,65,51.6
0.25,0.0,42,91.9
0.25,0.0,44,73.6
0.25,0.0,51,96.9
0.25,0.0,55,98.3
0.25,0.0,65,91.4
0.25,0.25,42,93.1
0.25,0.25,44,77.3
0.25,0.25,51,94.4
0.25,0.25,55,94.4
0.25,0.25,65,89.9
0.25,0.5,42,54.6
0.25,0.5,44,56.3
0.25,0.5,51,70.7
0.25,0.5,55,56.0
0.25,0.5,65,55.7
0.25,0.75,42,51.0
0.25,0.75,44,52.7
0.25,0.75,51,51.6
0.25,0.75,55,53.0
0.25,0.75,65,50.1
0.25,1.0,42,47.9
0.25,1.0,44,48.7
0.25,1.0,51,50.1
0.25,1.0,55,49.9
0.25,1.0,65,48.9
0.5,0.0,42,94.0
0.5,0.0,44,77.7
0.5,0.0,51,97.6
0.5,0.0,55,95.1
0.5,0.0,65,90.3
0.5,0.25,42,89.1
0.5,0.25,44,64.4
0.5,0.25,51,95.3
0.5,0.25,55,93.9
0.5,0.25,65,90.6
0.5,0.5,42,53.0
0.5,0.5,44,51.3
0.5,0.5,51,55.3
0.5,0.5,55,55.9
0.5,0.5,65,54.0
0.5,0.75,42,47.9
0.5,0.75,44,47.3
0.5,0.75,51,52.4
0.5,0.75,55,49.9
0.5,0.75,65,49.3
0.5,1.0,42,49.0
0.5,1.0,44,50.6
0.5,1.0,51,47.3
