target,weight,accuracy,elapsed
gate,0.0,80.42857142857143,1804.0669589042664
gate,0.1,84.57142857142857,1814.9765858650208
gate,0.25,91.85714285714286,1810.319181919098
gate,0.5,94.0,1808.691155910492
gate,0.75,92.85714285714286,1789.6097650527954
gate,1.0,93.28571428571428,1788.6216859817505
gate,1.5,94.57142857142857,1775.6005339622498
gate,2.0,94.28571428571428,1770.7859139442444
ac,0.0,80.42857142857143,1791.9499299526215
ac,0.1,84.57142857142857,1799.2675280570984
ac,0.25,86.14285714285714,1798.8994588851929
ac,0.5,80.14285714285714,1789.3345630168915
ac,0.75,53.42857142857142,1800.3804249763489
ac,1.0,50.142857142857146,1797.1807670593262
ac,1.5,49.857142857142854,1800.9106559753418
ac,2.0,50.857142857142854,1791.274015903473
